statReviewAvailable,PPAReviewAvailable,Name,appType,PPAReviewLink,Company,reviewAvailable,marketStat,appNo,approvDate,reviewPageLink,sumReviewAvailable,PatientPopulationAltered,medReviewAvailable
-,-,"BUTALBITAL, ASPIRIN, CAFFEINE, AND CODEINE PHOSPHATE",ANDA,-,STEVENS J,-,Prescription,74951,1998-08-31,-,-,-,-
-,-,"BUTALBITAL, ASPIRIN AND CAFFEINE",-,-,-,-,Discontinued,78149,-,-,-,-,-
-,-,"BUTALBITAL, ASPIRIN AND CAFFEINE",-,-,-,-,Discontinued,85441,-,-,-,-,-
-,-,"BUTALBITAL, ASPIRIN AND CAFFEINE",-,-,-,-,Discontinued,86231,-,-,-,-,-
-,-,"BUTALBITAL, ASPIRIN AND CAFFEINE",-,-,-,-,Discontinued,86237,-,-,-,-,-
-,-,"BUTALBITAL, ASPIRIN AND CAFFEINE",-,-,-,-,Discontinued,86398,-,-,-,-,-
-,-,"BUTALBITAL, ASPIRIN AND CAFFEINE",-,-,-,-,Discontinued,86710,-,-,-,-,-
-,-,"BUTALBITAL, ASPIRIN AND CAFFEINE",-,-,-,-,Discontinued,87048,-,-,-,-,-
-,-,"BUTALBITAL, ASPIRIN AND CAFFEINE",-,-,-,-,Discontinued,88972,-,-,-,-,-
-,-,"BUTALBITAL, ASPIRIN AND CAFFEINE",-,-,-,-,Discontinued,89448,-,-,-,-,-
-,-,"BUTALBITAL, ACETAMINOPHEN, CAFFEINE AND CODEINE PHOSPHATE",-,-,-,-,Discontinued,76528,-,-,-,-,-
-,-,"BUTALBITAL, ASPIRIN AND CAFFEINE",ANDA,-,PHARMACEUTICS INTL,-,Prescription,204195,2016-09-22,-,-,-,-
-,-,"BUTALBITAL, ACETAMINOPHEN, CAFFEINE AND CODEINE PHOSPHATE",ANDA,-,NEXGEN PHARMA INC,-,Prescription,76560,2004-06-10,-,-,-,-
-,-,"BUTALBITAL, ACETAMINOPHEN, CAFFEINE AND CODEINE PHOSPHATE",ANDA,-,VINTAGE PHARMS,-,Prescription,75929,2002-04-22,-,-,-,-
-,-,"BUTALBITAL, ACETAMINOPHEN, CAFFEINE AND CODEINE PHOSPHATE",ANDA,-,HIKMA INTL PHARMS,-,Prescription,75618,2001-03-23,-,-,-,-
-,-,"BUTALBITAL, ASPIRIN AND CAFFEINE",ANDA,-,HIKMA INTL PHARMS,-,Prescription,86162,1979-06-05,-,-,-,-
-,-,"BUTALBITAL, ACETAMINOPHEN AND CAFFEINE",-,-,-,-,Discontinued,40261,-,-,-,-,-
-,-,"BUTALBITAL, ACETAMINOPHEN AND CAFFEINE",-,-,-,-,Discontinued,40267,-,-,-,-,-
-,-,"BUTALBITAL, ACETAMINOPHEN AND CAFFEINE",-,-,-,-,Discontinued,40336,-,-,-,-,-
-,-,"BUTALBITAL, ACETAMINOPHEN AND CAFFEINE",-,-,-,-,Discontinued,40390,-,-,-,-,-
-,-,"BUTALBITAL, ACETAMINOPHEN AND CAFFEINE",-,-,-,-,Discontinued,40394,-,-,-,-,-
-,-,"BUTALBITAL, ACETAMINOPHEN AND CAFFEINE",-,-,-,-,Discontinued,40496,-,-,-,-,-
-,-,"BUTALBITAL, ACETAMINOPHEN AND CAFFEINE",-,-,-,-,Discontinued,40513,-,-,-,-,-
-,-,"BUTALBITAL, ACETAMINOPHEN AND CAFFEINE",-,-,-,-,Discontinued,40601,-,-,-,-,-
-,-,"BUTALBITAL, ACETAMINOPHEN AND CAFFEINE",-,-,-,-,Discontinued,40864,-,-,-,-,-
-,-,"BUTALBITAL, ACETAMINOPHEN AND CAFFEINE",-,-,-,-,Discontinued,40883,-,-,-,-,-
-,-,"BUTALBITAL, ACETAMINOPHEN AND CAFFEINE",-,-,-,-,Discontinued,87629,-,-,-,-,-
-,-,"BUTALBITAL, ACETAMINOPHEN AND CAFFEINE",-,-,-,-,Discontinued,88743,-,-,-,-,-
-,-,"BUTALBITAL, ACETAMINOPHEN AND CAFFEINE",-,-,-,-,Discontinued,88758,-,-,-,-,-
-,-,"BUTALBITAL, ACETAMINOPHEN AND CAFFEINE",-,-,-,-,Discontinued,88765,-,-,-,-,-
-,-,"BUTALBITAL, ACETAMINOPHEN AND CAFFEINE",-,-,-,-,Discontinued,89067,-,-,-,-,-
-,-,"BUTALBITAL, ACETAMINOPHEN AND CAFFEINE",-,-,-,-,Discontinued,89536,-,-,-,-,-
-,-,BUTALBITAL AND ACETAMINOPHEN,-,-,-,-,Discontinued,87550,-,-,-,-,-
-,-,BUTALBITAL AND ACETAMINOPHEN,-,-,-,-,Discontinued,89568,-,-,-,-,-
-,-,"BUTALBITAL, ACETAMINOPHEN AND CAFFEINE",ANDA,-,NUVO PHARM INC,-,Prescription,207118,-,-,-,-,-
-,-,BUTALBITAL AND ACETAMINOPHEN,ANDA,-,MIKART INC,-,Prescription,207386,-,-,-,-,-
-,-,BUTALBITAL AND ACETAMINOPHEN,ANDA,-,CNTY LINE PHARMS,-,Prescription,205120,2015-10-30,-,-,-,-
-,-,BUTALBITAL AND ACETAMINOPHEN,ANDA,-,LARKEN LABS INC,-,Prescription,203484,2015-12-04,-,-,-,-
-,-,BUTALBITAL AND ACETAMINOPHEN,ANDA,-,NEXGEN PHARMA,-,Prescription,90956,2011-08-23,-,-,-,-
-,-,"BUTALBITAL, ACETAMINOPHEN AND CAFFEINE",ANDA,-,LANNETT HOLDINGS INC,-,Prescription,200243,2012-09-13,-,-,-,-
-,-,"BUTALBITAL, ACETAMINOPHEN AND CAFFEINE",ANDA,-,HIKMA PHARMS LLC,-,Prescription,89718,1995-06-12,-,-,-,-
-,-,"BUTALBITAL, ACETAMINOPHEN AND CAFFEINE",ANDA,-,MIKART,-,Prescription,89175,1987-01-21,-,-,-,-
-,-,"BUTALBITAL, ACETAMINOPHEN AND CAFFEINE",ANDA,-,MAYNE PHARMA INC,-,Prescription,89007,1986-03-17,-,-,-,-
-,-,"BUTALBITAL, ACETAMINOPHEN AND CAFFEINE",ANDA,-,MALLINCKRODT,-,Prescription,87804,1985-01-24,-,-,-,-
-,-,"BUTALBITAL, ACETAMINOPHEN AND CAFFEINE",ANDA,-,NEXGEN PHARMA,-,Prescription,40885,2009-11-16,-,-,-,-
-,-,"BUTALBITAL, ACETAMINOPHEN AND CAFFEINE",ANDA,-,VINTAGE PHARMS,-,Prescription,40511,2003-08-27,-,-,-,-
-,-,"BUTALBITAL, ACETAMINOPHEN AND CAFFEINE",ANDA,-,MIKART,-,Prescription,40387,2003-01-31,-,-,-,-
-,-,BUTABARBITAL SODIUM,-,-,-,-,Discontinued,83325,-,-,-,-,-
-,-,BUTABARBITAL SODIUM,-,-,-,-,Discontinued,83337,-,-,-,-,-
-,-,BUTABARBITAL SODIUM,-,-,-,-,Discontinued,83606,-,-,-,-,-
-,-,BUTABARBITAL SODIUM,-,-,-,-,Discontinued,83896,-,-,-,-,-
-,-,BUTABARBITAL SODIUM,-,-,-,-,Discontinued,83897,-,-,-,-,-
-,-,BUTABARBITAL SODIUM,-,-,-,-,Discontinued,83898,-,-,-,-,-
-,-,BUTABARBITAL SODIUM,-,-,-,-,Discontinued,84272,-,-,-,-,-
-,-,BUTABARBITAL SODIUM,-,-,-,-,Discontinued,84292,-,-,-,-,-
-,-,BUTABARBITAL SODIUM,-,-,-,-,Discontinued,85383,-,-,-,-,-
-,-,BUTABARBITAL SODIUM,-,-,-,-,Discontinued,85764,-,-,-,-,-
-,-,BUTABARBITAL SODIUM,-,-,-,-,Discontinued,85772,-,-,-,-,-
-,-,BUTABARBITAL SODIUM,-,-,-,-,Discontinued,85934,-,-,-,-,-
-,-,BUTABARBITAL SODIUM,-,-,-,-,Discontinued,85938,-,-,-,-,-
-,-,BUTABARBITAL SODIUM,-,-,-,-,Discontinued,88631,-,-,-,-,-
-,-,BUTABARBITAL SODIUM,-,-,-,-,Discontinued,88632,-,-,-,-,-
-,-,BUTALAN,ANDA,-,LANNETT,-,Discontinued,85880,1978-08-30,-,-,-,-
-,-,BUTABARBITAL,ANDA,-,BUNDY,-,Discontinued,85550,1978-05-31,-,-,-,-
-,-,BUTABARB,ANDA,-,ALPHARMA US PHARMS,-,Discontinued,85873,-,-,-,-,-
-,-,BUSULFAN,ANDA,-,LUITPOLD PHARMS INC,-,Prescription,202259,2015-12-22,-,-,-,-
-,-,BUSPIRONE HYDROCHLORIDE,-,-,-,-,Discontinued,75119,-,-,-,-,-
-,-,BUSPIRONE HYDROCHLORIDE,-,-,-,-,Discontinued,75385,-,-,-,-,-
-,-,BUSPIRONE HYDROCHLORIDE,-,-,-,-,Discontinued,75388,-,-,-,-,-
-,-,BUSPIRONE HYDROCHLORIDE,-,-,-,-,Discontinued,75413,-,-,-,-,-
-,-,BUSPIRONE HYDROCHLORIDE,-,-,-,-,Discontinued,75521,-,-,-,-,-
-,-,BUSPIRONE HYDROCHLORIDE,-,-,-,-,Discontinued,75572,-,-,-,-,-
True,False,BUSULFEX,NDA,-,OTSUKA PHARM,True,Prescription,20954,1999-02-04,http://www.accessdata.fda.gov/drugsatfda_docs/nda/99/20954.cfm,False,False,True
-,-,BUSPIRONE HYDROCHLORIDE,ANDA,-,HERITAGE PHARMA,-,Prescription,204582,2015-09-18,-,-,-,-
-,-,BUSPIRONE HYDROCHLORIDE,ANDA,-,ACCORD HLTHCARE,-,Prescription,202557,2014-12-30,-,-,-,-
-,-,BUSPIRONE HYDROCHLORIDE,ANDA,-,STRIDES ARCOLAB LTD,-,Prescription,202330,2014-08-25,-,-,-,-
-,-,BUSPIRONE HYDROCHLORIDE,ANDA,-,ORION CORP ORION,-,Prescription,202087,2015-12-16,-,-,-,-
-,-,BUSPIRONE HYDROCHLORIDE,ANDA,-,ZYDUS PHARMS USA INC,-,Prescription,78888,2014-02-07,-,-,-,-
-,-,BUSPIRONE HYDROCHLORIDE,ANDA,-,OXFORD PHARMS,-,Prescription,78302,2007-12-17,-,-,-,-
-,-,BUSPIRONE HYDROCHLORIDE,ANDA,-,DR REDDYS LABS LTD,-,Prescription,78246,2009-03-27,-,-,-,-
-,-,BUSPIRONE HYDROCHLORIDE,ANDA,-,MYLAN,-,Prescription,76008,2001-06-28,-,-,-,-
-,-,BUSPIRONE HYDROCHLORIDE,ANDA,-,MYLAN,-,Prescription,75467,2001-03-28,-,-,-,-
-,-,BUSPIRONE HYDROCHLORIDE,ANDA,-,MYLAN,-,Prescription,75272,2001-03-28,-,-,-,-
-,-,BUSPIRONE HYDROCHLORIDE,ANDA,-,TEVA,-,Prescription,75022,2002-02-28,-,-,-,-
-,-,BUSPIRONE HYDROCHLORIDE,ANDA,-,IMPAX LABS INC,-,Prescription,74253,2001-03-28,-,-,-,-
-,-,BUSPAR,-,-,-,-,Discontinued,18731,-,-,-,-,-
-,-,BUSPAR,-,-,-,-,Discontinued,21190,-,-,-,-,-
-,-,BUPROPION HYDROCHLORIDE,-,-,-,-,Discontinued,75310,-,-,-,-,-
-,-,BUPROPION HYDROCHLORIDE,-,-,-,-,Discontinued,75613,-,-,-,-,-
-,-,BUPROPION HYDROCHLORIDE,-,-,-,-,Discontinued,76834,-,-,-,-,-
-,-,BUPROPION HYDROCHLORIDE,-,-,-,-,Discontinued,76845,-,-,-,-,-
-,-,BUPROPION HYDROCHLORIDE,-,-,-,-,Discontinued,201331,-,-,-,-,-
-,-,BUPROPION HYDROCHLORIDE,ANDA,-,HERITAGE PHARMA,-,Prescription,206975,2016-08-19,-,-,-,-
-,-,BUPROPION HYDROBROMIDE,ANDA,-,WATSON LABS INC,-,None (Tentative Approval),200835,-,-,-,-,-
-,-,BUPROPION HYDROCHLORIDE,ANDA,-,INVAGEN PHARMS,-,Prescription,206674,2016-02-09,-,-,-,-
-,-,BUPROPION HYDROCHLORIDE,ANDA,-,INVAGEN PHARMS,-,Prescription,206556,-,-,-,-,-
-,-,BUPROPION HYDROCHLORIDE,ANDA,-,SCIEGEN PHARMS INC,-,Prescription,206122,2016-08-17,-,-,-,-
-,-,BUPROPION HYDROCHLORIDE,ANDA,-,SCIEGEN PHARMS INC,-,Prescription,205794,2016-03-01,-,-,-,-
-,-,BUPROPION HYDROCHLORIDE,ANDA,-,TORRENT PHARMS LTD,-,Prescription,203969,2014-10-31,-,-,-,-
-,-,BUPROPION HYDROCHLORIDE,ANDA,-,JUBILANT GENERICS,-,Prescription,202775,2013-10-11,-,-,-,-
-,-,BUPROPION HYDROCHLORIDE,ANDA,-,JUBILANT GENERICS,-,Prescription,202774,2013-10-11,-,-,-,-
-,-,BUPROPION HYDROCHLORIDE,ANDA,-,PRINSTON INC,-,Prescription,202304,2015-05-26,-,-,-,-
-,-,BUPROPION HYDROCHLORIDE,ANDA,-,WOCKHARDT LTD,-,Prescription,202189,2012-11-21,-,-,-,-
-,-,BUPROPION HYDROCHLORIDE,ANDA,-,ZYDUS PHARMS USA INC,-,Prescription,201567,2014-01-17,-,-,-,-
-,-,BUPROPION HYDROCHLORIDE,ANDA,-,SUN PHARMA GLOBAL,-,Prescription,200695,2014-12-18,-,-,-,-
-,-,BUPROPION HYDROCHLORIDE,ANDA,-,ANCHEN PHARMS,-,Prescription,91520,2011-06-09,-,-,-,-
-,-,BUPROPION HYDROCHLORIDE,ANDA,-,ANCHEN PHARMS,-,Prescription,91459,2011-06-09,-,-,-,-
-,-,BUPROPION HYDROCHLORIDE,ANDA,-,MYLAN,-,Prescription,90942,2010-07-14,-,-,-,-
-,-,BUPROPION HYDROCHLORIDE,ANDA,-,MYLAN,-,Prescription,90941,2010-05-03,-,-,-,-
-,-,BUPROPION HYDROCHLORIDE,ANDA,-,MYLAN,-,Prescription,90325,2010-04-08,-,-,-,-
-,-,BUPROPION HYDROCHLORIDE,ANDA,-,ACTAVIS LABS FL INC,-,Prescription,79095,2009-03-24,-,-,-,-
-,-,BUPROPION HYDROCHLORIDE,ANDA,-,ACTAVIS LABS FL INC,-,Prescription,79094,2009-03-24,-,-,-,-
-,-,BUPROPION HYDROCHLORIDE,ANDA,-,SUN PHARMA GLOBAL,-,Prescription,78866,2010-04-06,-,-,-,-
-,-,BUPROPION HYDROCHLORIDE,ANDA,-,ACTAVIS LABS FL INC,-,Prescription,77715,2007-06-13,-,-,-,-
-,-,BUPROPION HYDROCHLORIDE,ANDA,-,SANDOZ INC,-,Prescription,77475,2008-03-12,-,-,-,-
-,-,BUPROPION HYDROCHLORIDE,ANDA,-,WATSON LABS INC,-,Prescription,77455,2010-07-19,-,-,-,-
-,-,BUPROPION HYDROCHLORIDE,ANDA,-,IMPAX LABS,-,Prescription,77415,2006-12-15,-,-,-,-
-,-,BUPROPION HYDROCHLORIDE,ANDA,-,WATSON LABS INC,-,Prescription,77285,2008-08-15,-,-,-,-
-,-,BUPROPION HYDROCHLORIDE,ANDA,-,ANCHEN PHARMS,-,Prescription,77284,2006-12-14,-,-,-,-
-,-,BUPROPION HYDROCHLORIDE,ANDA,-,IMPAX LABS,-,Prescription,76711,2004-12-03,-,-,-,-
-,-,BUPROPION HYDROCHLORIDE,ANDA,-,APOTEX INC,-,Prescription,76143,2006-01-17,-,-,-,-
-,-,BUPROPION HYDROCHLORIDE,ANDA,-,SANDOZ,-,Prescription,75932,2003-11-25,-,-,-,-
-,-,BUPROPION HYDROCHLORIDE,ANDA,-,IMPAX LABS,-,Prescription,75914,2004-05-27,-,-,-,-
-,-,BUPROPION HYDROCHLORIDE,ANDA,-,IMPAX LABS,-,Prescription,75913,2004-01-28,-,-,-,-
-,-,BUPROPION HYDROCHLORIDE,ANDA,-,SANDOZ,-,Prescription,75584,2000-02-07,-,-,-,-
-,-,BUPROPION HYDROCHLORIDE,ANDA,-,MYLAN,-,Prescription,75491,2000-04-17,-,-,-,-
-,-,BUPRENORPHINE HYDROCHLORIDE AND NALOXONE HYDROCHLORIDE,ANDA,-,KREMERS URBAN PHARMS,-,Prescription,205022,2016-09-19,-,-,-,-
-,-,BUPRENORPHINE HYDROCHLORIDE,ANDA,-,PAR STERILE PRODUCTS,-,Prescription,206586,2015-07-28,-,-,-,-
-,-,BUPRENORPHINE HYDROCHLORIDE,ANDA,-,SUN PHARM INDS LTD,-,Prescription,201760,2016-01-29,-,-,-,-
-,-,BUPRENORPHINE HYDROCHLORIDE,ANDA,-,MYLAN PHARMS INC,-,Prescription,201066,2015-03-06,-,-,-,-
-,-,BUPRENORPHINE HYDROCHLORIDE,ANDA,-,ACTAVIS ELIZABETH,-,Prescription,90819,2015-02-19,-,-,-,-
-,-,BUPRENORPHINE HYDROCHLORIDE,ANDA,-,ETHYPHARM,-,Prescription,90622,2010-09-24,-,-,-,-
-,-,BUPRENORPHINE HYDROCHLORIDE,ANDA,-,BARR,-,Prescription,90360,2010-05-07,-,-,-,-
-,-,BUPRENORPHINE HYDROCHLORIDE,ANDA,-,SANDOZ INC,-,Prescription,90279,2015-06-10,-,-,-,-
-,-,BUPRENORPHINE HYDROCHLORIDE,ANDA,-,ROXANE,-,Prescription,78633,2009-10-08,-,-,-,-
-,-,BUPRENORPHINE HYDROCHLORIDE,ANDA,-,LUITPOLD,-,Prescription,78331,2007-03-27,-,-,-,-
-,-,BUPRENORPHINE HYDROCHLORIDE,ANDA,-,EUROHLTH INTL SARL,-,Prescription,76931,2005-03-02,-,-,-,-
-,-,BUPRENORPHINE HYDROCHLORIDE,ANDA,-,HOSPIRA,-,Prescription,74137,1996-06-03,-,-,-,-
-,-,BUPRENORPHINE HYDROCHLORIDE AND NALOXONE HYDROCHLORIDE,ANDA,-,ETHYPHARM USA CORP,-,Prescription,204431,2015-10-16,-,-,-,-
-,-,BUPRENORPHINE HYDROCHLORIDE AND NALOXONE HYDROCHLORIDE,ANDA,-,ROXANE,-,Prescription,203326,2014-06-27,-,-,-,-
-,-,BUPRENORPHINE HYDROCHLORIDE AND NALOXONE HYDROCHLORIDE,ANDA,-,AMNEAL PHARMS,-,Prescription,203136,2013-02-22,-,-,-,-
-,-,BUPRENORPHINE HYDROCHLORIDE AND NALOXONE HYDROCHLORIDE,ANDA,-,SUN PHARM INDS LTD,-,Prescription,201633,2016-08-05,-,-,-,-
-,-,BUPRENORPHINE HYDROCHLORIDE AND NALOXONE HYDROCHLORIDE,ANDA,-,ACTAVIS ELIZABETH,-,Prescription,91422,2013-02-22,-,-,-,-
-,-,BUPRENORPHINE HYDROCHLORIDE AND NALOXONE HYDROCHLORIDE,ANDA,-,TEVA PHARMS USA,-,Prescription,91149,2014-09-08,-,-,-,-
-,False,BUPRENEX,NDA,-,NORWICH-EATON PHARMA,False,Prescription,18410,1981-12-29,-,-,False,-
-,False,BUPIVACAINE HYDROCHLORIDE W/EPINEPHRINE,NDA,-,HOSPIRA,False,Prescription,22046,1983-07-13,-,-,False,-
-,-,BUPIVACAINE HYDROCHLORIDE PRESERVATIVE FREE,-,-,-,-,Discontinued,76012,-,-,-,-,-
-,False,BUPRENEX,NDA,-,INDIVIOR INC,False,Prescription,18401,1981-12-29,-,-,False,-
-,-,BUPIVACAINE HYDROCHLORIDE PRESERVATIVE FREE,ANDA,-,AUROBINDO PHARMA LTD,-,Prescription,203895,2013-11-05,-,-,-,-
-,-,BUPIVACAINE HYDROCHLORIDE PRESERVATIVE FREE,ANDA,-,SAGENT AGILA,-,Prescription,91487,2011-10-18,-,-,-,-
-,-,BUPIVACAINE HYDROCHLORIDE AND EPINEPHRINE,-,-,-,-,Discontinued,71166,-,-,-,-,-
-,-,BUPIVACAINE HYDROCHLORIDE AND EPINEPHRINE,-,-,-,-,Discontinued,71169,-,-,-,-,-
-,-,BUPIVACAINE HYDROCHLORIDE AND EPINEPHRINE,-,-,-,-,Discontinued,71171,-,-,-,-,-
-,-,BUPIVACAINE HYDROCHLORIDE KIT,NDA,-,HOSPIRA,-,Discontinued,19978,1992-09-03,-,-,-,-
-,-,BUPIVACAINE HYDROCHLORIDE AND EPINEPHRINE,ANDA,-,SEPTODONT,-,Prescription,77250,2006-09-27,-,-,-,-
-,-,BUPIVACAINE HYDROCHLORIDE AND EPINEPHRINE,ANDA,-,HOSPIRA,-,Prescription,71170,1988-06-16,-,-,-,-
-,-,BUPIVACAINE HYDROCHLORIDE AND EPINEPHRINE,ANDA,-,HOSPIRA,-,Prescription,71168,1988-06-16,-,-,-,-
-,-,BUPIVACAINE HYDROCHLORIDE AND EPINEPHRINE,ANDA,-,HOSPIRA,-,Prescription,71167,1988-06-16,-,-,-,-
-,-,BUPIVACAINE HYDROCHLORIDE AND EPINEPHRINE,ANDA,-,HOSPIRA,-,Prescription,71165,1988-06-16,-,-,-,-
-,-,BUPIVACAINE HYDROCHLORIDE AND EPINEPHRINE,-,-,-,-,Discontinued,71166,-,-,-,-,-
-,-,BUPIVACAINE HYDROCHLORIDE AND EPINEPHRINE,-,-,-,-,Discontinued,71169,-,-,-,-,-
-,-,BUPIVACAINE HYDROCHLORIDE AND EPINEPHRINE,-,-,-,-,Discontinued,71171,-,-,-,-,-
-,-,BUPIVACAINE HYDROCHLORIDE,-,-,-,-,Discontinued,70587,-,-,-,-,-
-,-,BUPIVACAINE HYDROCHLORIDE AND EPINEPHRINE,ANDA,-,SEPTODONT,-,Prescription,77250,2006-09-27,-,-,-,-
-,-,BUPIVACAINE HYDROCHLORIDE,ANDA,-,CLARIS,-,Prescription,207266,2016-07-25,-,-,-,-
-,-,BUPIVACAINE HYDROCHLORIDE,ANDA,-,AUROBINDO PHARMA LTD,-,Prescription,207183,2016-05-13,-,-,-,-
-,-,BUPIVACAINE HYDROCHLORIDE,ANDA,-,SAGENT AGILA,-,Prescription,91503,2011-10-18,-,-,-,-
-,-,BUPIVACAINE HYDROCHLORIDE,ANDA,-,HOSPIRA,-,Prescription,71810,1987-12-11,-,-,-,-
-,-,BUPIVACAINE HYDROCHLORIDE,ANDA,-,HOSPIRA,-,Prescription,70609,1987-03-03,-,-,-,-
-,-,BUPIVACAINE HYDROCHLORIDE,ANDA,-,HOSPIRA,-,Prescription,70597,1987-03-03,-,-,-,-
-,-,BUPIVACAINE HYDROCHLORIDE,ANDA,-,HOSPIRA,-,Prescription,70590,1987-02-17,-,-,-,-
-,-,BUPIVACAINE HYDROCHLORIDE,ANDA,-,HOSPIRA,-,Prescription,70586,1987-03-03,-,-,-,-
-,-,BUPIVACAINE HYDROCHLORIDE,ANDA,-,HOSPIRA,-,Prescription,70585,1987-03-03,-,-,-,-
-,-,BUPIVACAINE HYDROCHLORIDE,ANDA,-,HOSPIRA,-,Prescription,70584,1987-02-17,-,-,-,-
-,-,BUPIVACAINE HYDROCHLORIDE,ANDA,-,HOSPIRA,-,Prescription,70583,1987-02-17,-,-,-,-
-,False,BUPIVACAINE HYDROCHLORIDE,NDA,-,HOSPIRA,False,Prescription,22046,1983-07-13,-,-,False,-
