,Name,appNo,appType,approvDate,Company,marketStat,reviewAvailable,reviewPageLink,medReviewAvailable,statReviewAvailable,sumReviewAvailable,PatientPopulationAltered,PPAReviewAvailable,PPAReviewLink
913,AVASTIN,125085,BLA,2004-02-26 00:00:00,GENENTECH,Prescription,True,http://www.accessdata.fda.gov/drugsatfda_docs/nda/2004/STN-125085_Avastin.cfm,True,True,False,False,False,-
916,AVANDIA,21071,NDA,1999-05-25 00:00:00,SB PHARMCO,Prescription,True,http://www.accessdata.fda.gov/drugsatfda_docs/nda/99/21071_Avandia.cfm,True,True,False,True,False,-
919,AVAGE,21184,NDA,2000-09-29 00:00:00,ALLERGAN,Prescription,True,http://www.accessdata.fda.gov/drugsatfda_docs/nda/2000/21-184_Tazorac.cfm,True,True,False,False,False,-
920,AVAGARD,21074,NDA,2001-06-07 00:00:00,3M,Over-the-counter,True,http://www.accessdata.fda.gov/drugsatfda_docs/nda/2001/21-074_Avagard.cfm,True,True,False,False,False,-
921,AUVI-Q,201739,NDA,2012-08-10 00:00:00,KALEO INC,Prescription,False,-,-,-,-,False,False,-
924,AUGMENTIN XR,50785,NDA,2002-09-25 00:00:00,DR REDDYS LABS INC,Prescription,True,http://www.accessdata.fda.gov/drugsatfda_docs/nda/2002/50785_AugmentinXR.cfm,True,True,False,False,False,-
925,AUGMENTIN ES-600,50755,NDA,2001-06-22 00:00:00,DR REDDYS LABS INC,Prescription,True,http://www.accessdata.fda.gov/drugsatfda_docs/nda/2001/50755_Augmentin.cfm,True,True,False,True,False,-
940,ATROVENT HFA,21527,NDA,2004-11-17 00:00:00,BOEHRINGER INGELHEIM,Prescription,True,http://www.accessdata.fda.gov/drugsatfda_docs/nda/2004/021527s000TOC.cfm,True,True,False,False,False,-
944,ATROPINE SULFATE ANSYR PLASTIC SYRINGE,21146,NDA,2001-07-09 00:00:00,HOSPIRA,Prescription,True,http://www.accessdata.fda.gov/drugsatfda_docs/nda/2001/21-146_Atropine.cfm,True,False,False,False,False,-
952,ATRIPLA,21937,NDA,2006-07-12 00:00:00,GILEAD,Prescription,True,http://www.accessdata.fda.gov/drugsatfda_docs/nda/2006/021937TOC2.cfm,True,False,False,False,False,-
953,ATRIDOX,50751,NDA,1998-09-03 00:00:00,TOLMAR,Prescription,True,http://www.accessdata.fda.gov/drugsatfda_docs/nda/98/50751.cfm,True,True,False,False,False,-
962,ATRALIN,22070,NDA,2007-07-26 00:00:00,DOW PHARM,Prescription,True,http://www.accessdata.fda.gov/drugsatfda_docs/nda/2007/022070_atralin_toc.cfm,True,True,False,False,False,-
1054,ATACAND HCT,21093,NDA,2000-09-05 00:00:00,ASTRAZENECA,Prescription,True,http://www.accessdata.fda.gov/drugsatfda_docs/nda/2000/21-093_AtacandHCT.cfm,True,True,False,False,False,-
1055,ATACAND,20838,NDA,1998-06-04 00:00:00,ASTRAZENECA,Prescription,True,http://www.accessdata.fda.gov/drugsatfda_docs/nda/98/20838_Atacand.cfm,True,True,False,True,False,-
1067,ASMANEX TWISTHALER,21067,NDA,2005-03-30 00:00:00,MERCK SHARP DOHME,Prescription,True,http://www.accessdata.fda.gov/drugsatfda_docs/nda/2005/021067s000_AsmanexTOC.cfm,True,True,False,True,False,-
1084,ARRANON,21877,NDA,2005-10-28 00:00:00,NOVARTIS PHARMS CORP,Prescription,True,http://www.accessdata.fda.gov/drugsatfda_docs/nda/2005/021877_s000_ArranonTOC.cfm,True,True,False,False,False,-
1085,AROMASIN,20753,NDA,1999-10-21 00:00:00,PHARMACIA AND UPJOHN,Prescription,True,http://www.accessdata.fda.gov/drugsatfda_docs/nda/99/20-753_Aromasin.cfm,True,False,False,False,False,-
1095,ARIXTRA,21345,NDA,2001-12-07 00:00:00,MYLAN IRELAND LTD,Prescription,True,http://www.accessdata.fda.gov/drugsatfda_docs/nda/2001/21-345_Arixtra.cfm,True,True,False,False,False,-
1155,ARIMIDEX,22214,NDA,2008-12-05 00:00:00,ASTRAZENECA,Prescription,True,http://www.accessdata.fda.gov/drugsatfda_docs/nda/2008/022214_arimidex_toc.cfm,True,True,False,False,False,-
1159,ARICEPT ODT,21720,NDA,2004-10-18 00:00:00,EISAI INC,Prescription,True,http://www.accessdata.fda.gov/drugsatfda_docs/nda/2004/021720_s000_AriceptTOC.cfm,True,False,False,False,False,-
1163,ARGATROBAN IN SODIUM CHLORIDE,22485,NDA,2011-05-09 00:00:00,SANDOZ,Prescription,False,-,-,-,-,False,False,-
1173,ARGATROBAN,20883,NDA,2000-06-30 00:00:00,PFIZER,Prescription,True,http://www.accessdata.fda.gov/drugsatfda_docs/nda/2000/20-883_Acova.cfm,True,True,False,False,False,-
1179,ARESTIN,50781,NDA,2001-02-16 00:00:00,ORAPHARMA,Prescription,True,http://www.accessdata.fda.gov/drugsatfda_docs/nda/2001/50781_Arestin.cfm,True,True,False,False,False,-
1180,AREDIA,20927,NDA,1998-09-22 00:00:00,NOVARTIS,Prescription,True,http://www.accessdata.fda.gov/drugsatfda_docs/nda/98/020927.cfm,True,False,False,False,False,-
1184,ARAVA,20905,NDA,1998-09-10 00:00:00,SANOFI AVENTIS US,Prescription,True,http://www.accessdata.fda.gov/drugsatfda_docs/nda/98/20905_arava.cfm,True,True,False,True,False,-
1204,APTIVUS,21814,NDA,2005-06-22 00:00:00,BOEHRINGER INGELHEIM,Prescription,True,http://www.accessdata.fda.gov/drugsatfda_docs/nda/2005/21814_000_AptivusTOC.cfm,True,True,False,False,False,-
1217,APIDRA SOLOSTAR,21629,NDA,2004-04-16 00:00:00,SANOFI AVENTIS US,Prescription,True,http://www.accessdata.fda.gov/drugsatfda_docs/nda/2004/21-629_Apidra.cfm,True,True,False,True,False,-
1228,ANTHELIOS SX,21502,NDA,2006-07-21 00:00:00,LOREAL USA,Over-the-counter,True,http://www.accessdata.fda.gov/drugsatfda_docs/nda/2006/021502s000_AntheliosTOC.cfm,True,False,False,False,False,-
1230,ANTHELIOS 20,21471,NDA,2006-10-05 00:00:00,LOREAL USA,Over-the-counter,True,http://www.accessdata.fda.gov/drugsatfda_docs/nda/2006/021471s000TOC.cfm,True,False,False,False,False,-
1233,ANTARA (MICRONIZED),21695,NDA,2004-11-30 00:00:00,LUPIN ATLANTIS,Prescription,True,http://www.accessdata.fda.gov/drugsatfda_docs/nda/2004/021695s000_AntaraTOC.cfm,True,False,False,False,False,-
1249,ANGIOMAX,20873,NDA,2000-12-15 00:00:00,THE MEDICINES CO,Prescription,True,http://www.accessdata.fda.gov/drugsatfda_docs/nda/2000/20873_Angiomax.cfm,True,True,False,False,False,-
1251,ANGELIQ,21355,NDA,2005-09-28 00:00:00,BAYER HLTHCARE,Prescription,True,http://www.accessdata.fda.gov/drugsatfda_docs/nda/2005/021355s000TOC.cfm,True,True,False,False,False,-
1264,ANDROGEL,21015,NDA,2000-02-28 00:00:00,ABBVIE,Prescription,True,http://www.accessdata.fda.gov/drugsatfda_docs/nda/2000/21-015_AndroGel.cfm,True,False,False,False,False,-
1308,AMRIX,21777,NDA,2007-02-01 00:00:00,IVAX INTL,Prescription,True,http://www.accessdata.fda.gov/drugsatfda_docs/nda/2007/021777s000TOC.cfm,True,True,False,False,False,-
1392,AMPHADASE,21665,NDA,2004-10-26 00:00:00,AMPHASTAR PHARM,Prescription,True,http://www.accessdata.fda.gov/drugsatfda_docs/nda/2004/21-665_Amphadase.cfm,True,False,False,False,False,-
1393,AMOXIL,50754,NDA,1998-07-10 00:00:00,DR REDDYS LABS INC,Prescription,False,-,-,-,-,False,False,-
1394,AMOXIL,50760,NDA,1999-04-15 00:00:00,DR REDDYS LABS INC,Prescription,True,http://www.accessdata.fda.gov/drugsatfda_docs/nda/99/050760_s000_AmoxilTOC.cfm,True,False,False,False,False,-
1488,AMMONUL,20645,NDA,2005-02-17 00:00:00,MEDICIS,Prescription,True,http://www.accessdata.fda.gov/drugsatfda_docs/nda/2005/020645s000TOC.cfm,True,False,False,False,False,-
1525,AMMONIA N 13,22119,NDA,2007-08-23 00:00:00,FEINSTEIN,Prescription,True,http://www.accessdata.fda.gov/drugsatfda_docs/nda/2007/22119s000TOC.cfm,True,False,False,False,False,-
1713,AMJEVITA,761024,BLA,2016-09-23 00:00:00,AMGEN INC,Prescription,False,-,-,-,-,False,False,-
1737,AMITIZA,21908,NDA,2006-01-31 00:00:00,SUCAMPO PHARMA LLC,Prescription,True,http://www.accessdata.fda.gov/drugsatfda_docs/nda/2006/021908s000_AmitizaTOC.cfm,True,True,False,False,False,-
1953,AMERGE,20763,NDA,1998-02-10 00:00:00,GLAXOSMITHKLINE LLC,Prescription,True,http://www.accessdata.fda.gov/drugsatfda_docs/nda/98/20763_Amerge.cfm,True,True,False,False,False,-
1954,AMELUZ,208081,NDA,2016-05-10 00:00:00,BIOFRONTERA,Prescription,False,-,-,-,-,False,False,-
1964,AMBIEN CR,21774,NDA,2005-09-02 00:00:00,SANOFI AVENTIS US,Prescription,True,http://www.accessdata.fda.gov/drugsatfda_docs/nda/2005/021774s000_AmbienTOC.cfm,True,True,False,False,False,-
2000,ALTABAX,22055,NDA,2007-04-12 00:00:00,AQUA PHARMS LLC,Prescription,True,http://www.accessdata.fda.gov/drugsatfda_docs/nda/2007/022055s000TOC.cfm,True,True,False,False,False,-
2004,ALREX,20803,NDA,1998-03-09 00:00:00,BAUSCH AND LOMB,Prescription,True,http://www.accessdata.fda.gov/drugsatfda_docs/nda/98/020803_alrex_toc.cfm,True,False,False,False,False,-
2048,ALPHAGAN P,21770,NDA,2005-08-19 00:00:00,ALLERGAN,Prescription,True,http://www.accessdata.fda.gov/drugsatfda_docs/nda/2005/021770s000TOC.cfm,True,True,False,False,False,-
2049,ALPHAGAN P,21262,NDA,2001-03-16 00:00:00,ALLERGAN,Prescription,True,http://www.accessdata.fda.gov/drugsatfda_docs/nda/2001/21-262_AlphaganP.cfm,True,True,False,True,True,http://www.accessdata.fda.gov/drugsatfda_docs/nda/2001/20-490s007_Alphagan.cfm
2061,ALOXI,21372,NDA,2003-07-25 00:00:00,HELSINN HLTHCARE,Prescription,True,http://www.accessdata.fda.gov/drugsatfda_docs/nda/2003/21-372_Alox.cfm,True,True,False,False,False,-
2062,ALORA,21310,NDA,2002-04-05 00:00:00,WATSON LABS,Prescription,False,-,-,-,-,False,False,-
2067,ALOCRIL,21009,NDA,1999-12-08 00:00:00,ALLERGAN,Prescription,True,http://www.accessdata.fda.gov/drugsatfda_docs/nda/99/021009_Alocril.cfm,True,True,False,False,False,-
2087,ALLI,21887,NDA,2007-02-07 00:00:00,GLAXOSMITHKLINE CONS,Over-the-counter,True,http://www.accessdata.fda.gov/drugsatfda_docs/nda/2007/021887s000TOC.cfm,True,True,False,False,False,-
2099,ALLEGRA-D 24 HOUR ALLERGY AND CONGESTION,21704,NDA,2004-10-19 00:00:00,SANOFI AVENTIS US,Over-the-counter,True,http://www.accessdata.fda.gov/drugsatfda_docs/nda/2004/021704s000_AllegraTOC.cfm,True,False,False,False,False,-
2101,ALLEGRA ALLERGY,20872,NDA,2000-02-25 00:00:00,SANOFI AVENTIS US,Over-the-counter,True,http://www.accessdata.fda.gov/drugsatfda_docs/nda/2000/20-872_Allegra.cfm,True,True,False,False,False,-
2106,ALLEGRA,21963,NDA,2006-10-16 00:00:00,SANOFI AVENTIS US,Prescription,True,http://www.accessdata.fda.gov/drugsatfda_docs/nda/2006/021963TOC.cfm,True,False,False,False,False,-
2111,ALINIA,21818,NDA,2005-06-16 00:00:00,ROMARK,Prescription,True,http://www.accessdata.fda.gov/drugsatfda_docs/nda/2005/021818s000_021498s003TOC.cfm,True,True,False,False,False,-
2112,ALIMTA,21677,NDA,2004-08-19 00:00:00,LILLY,Prescription,True,http://www.accessdata.fda.gov/drugsatfda_docs/nda/2004/021677s000_AlimtaTOC.cfm,True,True,False,False,False,-
2113,ALIMTA,21462,NDA,2004-02-04 00:00:00,LILLY,Prescription,True,http://www.accessdata.fda.gov/drugsatfda_docs/nda/2004/21-462_Alimta.cfm,True,True,False,False,False,-
2114,ALINIA,21498,NDA,2002-11-22 00:00:00,ROMARK,Prescription,True,http://www.accessdata.fda.gov/drugsatfda_docs/nda/2002/21-498_Alinia.cfm,True,True,False,True,True,http://www.accessdata.fda.gov/drugsatfda_docs/nda/2005/021818s000_021498s003TOC.cfm
2115,ALINIA,21497,NDA,2004-07-21 00:00:00,ROMARK,Prescription,True,http://www.accessdata.fda.gov/drugsatfda_docs/nda/2004/21-497_21-498s001_Alinia.cfm,True,True,False,False,False,-
2128,ALEVE-D SINUS & COLD,21076,NDA,1999-11-29 00:00:00,BAYER,Over-the-counter,True,http://www.accessdata.fda.gov/drugsatfda_docs/nda/99/21-076_Aleve.cfm,True,True,False,False,False,-
2248,ALAWAY,21996,NDA,2006-12-01 00:00:00,BAUSCH AND LOMB,Over-the-counter,True,http://www.accessdata.fda.gov/drugsatfda_docs/nda/2006/021996_alaway_toc.cfm,True,False,False,False,False,-
2249,ALAVERT,21375,NDA,2002-12-19 00:00:00,PFIZER,Over-the-counter,False,-,-,-,-,False,False,-
2256,AKTIPAK,50769,NDA,2000-11-27 00:00:00,CUTANEA,Prescription,True,http://www.accessdata.fda.gov/drugsatfda_docs/nda/2000/50-769_Benamycin.cfm,True,True,False,False,False,-
2273,AGGRENOX,20884,NDA,1999-11-22 00:00:00,BOEHRINGER INGELHEIM,Prescription,True,http://www.accessdata.fda.gov/drugsatfda_docs/nda/99/20884_Aggrenox.cfm,True,True,False,False,False,-
2288,AEROSPAN HFA,21247,NDA,2006-01-27 00:00:00,MEDA PHARMS,Prescription,True,http://www.accessdata.fda.gov/drugsatfda_docs/nda/2006/021247_aerospan_toc.cfm,True,True,False,False,False,-
2296,ADZENYS XR-ODT,204326,NDA,2016-01-28 00:00:00,NEOS THERAPS,Prescription,False,-,-,-,-,False,False,-
2297,ADVIL PM,21394,NDA,2005-12-21 00:00:00,PFIZER,Over-the-counter,True,"http://www.accessdata.fda.gov/drugsatfda_docs/nda/2005/021393,021394_AdvilTOC.cfm",True,True,False,False,False,-
2301,ADVIL COLD AND SINUS,21374,NDA,2002-05-30 00:00:00,PFIZER,Over-the-counter,True,http://www.accessdata.fda.gov/drugsatfda_docs/nda/2002/21-374_Ibuprofen.cfm,True,False,False,False,False,-
2303,ADVIL ALLERGY SINUS,21441,NDA,2002-12-19 00:00:00,PFIZER,Over-the-counter,True,http://www.accessdata.fda.gov/drugsatfda_docs/nda/2002/21-441_Advil.cfm,True,True,False,False,False,-
2309,ADVAIR DISKUS 500/50,21077,NDA,2000-08-24 00:00:00,GLAXO GRP LTD,Prescription,True,http://www.accessdata.fda.gov/drugsatfda_docs/nda/2000/21077_AdvairDiskus.cfm,True,True,False,True,False,-
2319,ADRENACLICK,20800,NDA,2003-05-30 00:00:00,AMEDRA PHARMS,Prescription,True,http://www.accessdata.fda.gov/drugsatfda_docs/nda/2003/20-800_Twinject.cfm,True,False,False,True,False,-
2348,ADDERALL XR 5,21303,NDA,2001-10-11 00:00:00,SHIRE,Prescription,True,http://www.accessdata.fda.gov/drugsatfda_docs/nda/2001/21303_Adderall.cfm,True,True,False,True,False,-
2356,ADCIRCA,22332,NDA,2009-05-22 00:00:00,ELI LILLY CO,Prescription,True,http://www.accessdata.fda.gov/drugsatfda_docs/nda/2009/022332_adcirca_toc.cfm,True,False,False,False,False,-
2374,ACZONE,207154,NDA,2016-02-24 00:00:00,ALLERGAN INC,Prescription,False,-,-,-,-,False,False,-
2376,ACZONE,21794,NDA,2005-07-07 00:00:00,ALLERGAN,Prescription,True,http://www.accessdata.fda.gov/drugsatfda_docs/nda/2005/021794s000TOC.cfm,True,True,False,False,False,-
2475,ACULAR LS,21528,NDA,2003-05-30 00:00:00,ALLERGAN,Prescription,True,http://www.accessdata.fda.gov/drugsatfda_docs/nda/2003/21528_Acular.cfm,True,True,False,False,False,-
2477,ACTOS,21073,NDA,1999-07-15 00:00:00,TAKEDA PHARMS USA,Prescription,True,http://www.accessdata.fda.gov/drugsatfda_docs/nda/99/021073A_Actos.cfm,True,True,False,False,False,-
2478,ACTOPLUS MET XR,22024,NDA,2009-05-12 00:00:00,TAKEDA PHARMS USA,Prescription,True,http://www.accessdata.fda.gov/drugsatfda_docs/nda/2009/022024_actoplus_met_xr_toc.cfm,True,False,False,False,False,-
2480,ACTOPLUS MET,21842,NDA,2005-08-29 00:00:00,TAKEDA PHARMS USA,Prescription,True,http://www.accessdata.fda.gov/drugsatfda_docs/nda/2005/021842s000TOC.cfm,True,False,False,False,False,-
2481,ACTONEL,20835,NDA,1998-03-27 00:00:00,APIL,Prescription,True,http://www.accessdata.fda.gov/drugsatfda_docs/nda/98/20835_Actonel.cfm,True,True,False,False,False,-
2482,ACTIVELLA,22001,NDA,2006-12-29 00:00:00,NOVO NORDISK INC,Prescription,True,http://www.accessdata.fda.gov/drugsatfda_docs/nda/2006/022001s000TOC.cfm,True,True,False,False,False,-
2483,ACTIVELLA,21103,NDA,2000-04-11 00:00:00,NOVO NORDISK,Prescription,True,http://www.accessdata.fda.gov/drugsatfda_docs/nda/2000/21-103_Activella.cfm,True,True,False,False,False,-
2484,ACTIVELLA,20907,NDA,1998-11-18 00:00:00,AMNEAL PHARMS LLC,Prescription,True,http://www.accessdata.fda.gov/drugsatfda_docs/nda/98/20907.cfm,True,True,False,False,False,-
2487,ACTIQ,20747,NDA,1998-11-04 00:00:00,CEPHALON,Prescription,True,http://www.accessdata.fda.gov/drugsatfda_docs/nda/98/20747_Actiq.cfm,True,True,False,True,False,-
2490,ACTIMMUNE,103836,BLA,1999-02-25 00:00:00,VIDARA THERAPEUTICS RESEARCH LTD,Prescription,False,-,-,-,-,False,False,-
2516,ACIPHEX,21456,NDA,2002-11-08 00:00:00,EISAI MEDCL RES,Prescription,True,http://www.accessdata.fda.gov/drugsatfda_docs/nda/2002/021456_aciphex.cfm,True,True,False,False,False,-
2702,ACETADOTE,21539,NDA,2004-01-23 00:00:00,CUMBERLAND PHARMS,Prescription,True,http://www.accessdata.fda.gov/drugsatfda_docs/nda/2004/21-539_Acetadote.cfm,True,True,False,False,False,-
2722,ACCURETIC,20125,NDA,1999-12-28 00:00:00,PFIZER PHARMS,Prescription,True,http://www.accessdata.fda.gov/drugsatfda_docs/nda/99/20125_Accuretic.cfm,True,True,False,False,False,-
2724,ACCUNEB,20949,NDA,2001-04-30 00:00:00,MYLAN SPECLT,Prescription,True,http://www.accessdata.fda.gov/drugsatfda_docs/nda/2001/20-949_AccuNeb.cfm,True,True,False,False,False,-
2740,ABREVA,20941,NDA,2000-07-25 00:00:00,GLAXOSMITHKLINE,Over-the-counter,True,http://www.accessdata.fda.gov/drugsatfda_docs/nda/2000/20-941_Abreva.cfm,True,True,False,False,False,-
2741,ABRAXANE,21660,NDA,2005-01-07 00:00:00,ABRAXIS BIOSCIENCE,Prescription,True,http://www.accessdata.fda.gov/drugsatfda_docs/nda/2005/21660_AbraxaneTOC.cfm,True,True,False,False,False,-
2751,ABILIFY,21436,NDA,2002-11-15 00:00:00,OTSUKA,Prescription,True,http://www.accessdata.fda.gov/drugsatfda_docs/nda/2002/21-436_Abilify.cfm,True,True,False,True,False,-
2884,CYMBALTA,21733,NDA,2004-09-03 00:00:00,LILLY,Prescription,True,http://www.accessdata.fda.gov/drugsatfda_docs/nda/2004/021733s000_CymbaltaTOC.cfm,True,True,False,False,False,-
2885,CYMBALTA,21427,NDA,2004-08-03 00:00:00,LILLY,Prescription,True,http://www.accessdata.fda.gov/drugsatfda_docs/nda/2004/021427_s000_Cymbalta.cfm,True,True,False,True,False,-
2935,CYCLESSA,21090,NDA,2000-12-20 00:00:00,ASPEN GLOBAL INC,Prescription,True,http://www.accessdata.fda.gov/drugsatfda_docs/nda/2000/21-090_Cyclessa.cfm,True,True,False,False,False,-
2955,CYANOKIT,22041,NDA,2006-12-15 00:00:00,SERB SA,Prescription,True,http://www.accessdata.fda.gov/drugsatfda_docs/nda/2006/022041_cyanokit_toc.cfm,True,True,False,False,False,-
2976,CUTIVATE,21152,NDA,2005-03-31 00:00:00,FOUGERA PHARMS,Prescription,True,http://www.accessdata.fda.gov/drugsatfda_docs/nda/2005/021152s000TOC.cfm,True,True,False,False,False,-
2978,CUROSURF,20744,NDA,1999-11-18 00:00:00,CHIESI USA INC,Prescription,True,http://www.accessdata.fda.gov/drugsatfda_docs/nda/99/20744_Curosurf.cfm,True,True,False,False,False,-
3012,CRESTOR,21366,NDA,2003-08-12 00:00:00,IPR,Prescription,True,http://www.accessdata.fda.gov/drugsatfda_docs/nda/2003/21-366_Crestor.cfm,True,True,False,True,False,-
3027,COSOPT,20869,NDA,1998-04-07 00:00:00,OAK PHARMS INC,Prescription,True,http://www.accessdata.fda.gov/drugsatfda_docs/nda/98/020869_cosopt_toc.cfm,True,False,False,False,False,-
3102,COREG CR,22012,NDA,2006-10-20 00:00:00,SMITHKLINE BEECHAM,Prescription,True,http://www.accessdata.fda.gov/drugsatfda_docs/nda/2006/022012s000TOC.cfm,True,True,False,False,False,-
3114,COPEGUS,21511,NDA,2002-12-03 00:00:00,ROCHE,Prescription,True,http://www.accessdata.fda.gov/drugsatfda_docs/nda/2002/21-511_Copegus.cfm,True,False,False,False,False,-
3115,CONZIP,22370,NDA,2010-05-07 00:00:00,CIPHER PHARMS INC,Prescription,False,-,-,-,-,False,False,-
3127,CONCERTA,21121,NDA,2000-08-01 00:00:00,JANSSEN PHARMS,Prescription,True,http://www.accessdata.fda.gov/drugsatfda_docs/nda/2000/21-121_Concerta.cfm,True,True,False,True,False,-
3129,COMTAN,20796,NDA,1999-10-19 00:00:00,ORION PHARMA,Prescription,True,http://www.accessdata.fda.gov/drugsatfda_docs/nda/99/20796_Comtan.cfm,False,True,False,False,False,-
3153,COMMIT,21330,NDA,2002-10-31 00:00:00,GLAXOSMITHKLINE CONS,Over-the-counter,True,http://www.accessdata.fda.gov/drugsatfda_docs/nda/2002/21-330_Commit.cfm,True,True,False,False,False,-
3160,COMBIPATCH,20870,NDA,1998-08-07 00:00:00,NOVEN PHARMS INC,Prescription,True,http://www.accessdata.fda.gov/drugsatfda_docs/nda/98/20870_CombiPatch.cfm,True,True,False,False,False,-
3194,COLAZAL,20610,NDA,2000-07-18 00:00:00,VALEANT PHARMS INTL,Prescription,True,http://www.accessdata.fda.gov/drugsatfda_docs/nda/2000/20-610_Colazal.cfm,True,True,False,True,False,-
